id_game,rank,so_tuong,so_skin,gia,link,shop
KẹoDưaHấu #0201,ĐỒNG II,82,12,"60,000 VNĐ",https://chothuesub.com/account/119086,chothuesub.com
BulDixnhDuxng #0512,SẮT II,98,25,"65,000 VNĐ",https://chothuesub.com/account/119142,chothuesub.com
chandoichoigame#7754,ĐỒNG III,96,13,"65,000 VNĐ",https://chothuesub.com/account/118963,chothuesub.com
locat11232 #vn2,VÀNG II,89,24,"65,000 VNĐ",https://chothuesub.com/account/118998,chothuesub.com
nấcc cụtt#VN3,BẠC III,92,47,"65,000 VNĐ",https://chothuesub.com/account/119011,chothuesub.com
Aka Trâu TV #DH18,VÀNG III,92,21,"70,000 VNĐ",https://chothuesub.com/account/119068,chothuesub.com
CắtĐôiNổiSầu #vn3,BẠC IV,108,27,"70,000 VNĐ",https://chothuesub.com/account/119088,chothuesub.com
AIzero04 #vn2,SẮT II,118,17,"70,000 VNĐ",https://chothuesub.com/account/119090,chothuesub.com
feedtolose #12345,BẠC I,116,16,"70,000 VNĐ",https://chothuesub.com/account/119137,chothuesub.com
ngongkt666 #6304,SẮT IV,117,19,"70,000 VNĐ",https://chothuesub.com/account/119143,chothuesub.com
huyhongchua #8856,VÀNG IV,96,13,"70,000 VNĐ",https://chothuesub.com/account/119147,chothuesub.com
Blackturtle#1853,ĐỒNG IV,105,55,"70,000 VNĐ",https://chothuesub.com/account/119016,chothuesub.com
reddog1234 #vn2,ĐỒNG IV,132,28,"72,000 VNĐ",https://chothuesub.com/account/119141,chothuesub.com
HLE Zues NĐ#2001,ĐỒNG I,147,28,"73,000 VNĐ",https://chothuesub.com/account/119000,chothuesub.com
czatk2005 #vn2,ĐỒNG III,146,25,"73,000 VNĐ",https://chothuesub.com/account/119036,chothuesub.com
Đức Tú #KEN,SẮT IV,159,47,"74,000 VNĐ",https://chothuesub.com/account/119161,chothuesub.com
chỉyêuChâu #yChau,SẮT IV,163,20,"75,000 VNĐ",https://chothuesub.com/account/119052,chothuesub.com
Ngáo2311 #vn2,UNRANK,160,21,"75,000 VNĐ",https://chothuesub.com/account/119063,chothuesub.com
Mèo Kì Lân #2004,UNRANK,164,28,"75,000 VNĐ",https://chothuesub.com/account/119065,chothuesub.com
Xin tí nhân phẩm#9393,UNRANK,105,38,"75,000 VNĐ",https://chothuesub.com/account/119107,chothuesub.com
VQuoc07 #trinh,UNRANK,171,24,"75,000 VNĐ",https://chothuesub.com/account/119156,chothuesub.com
3ofCups #246,VÀNG II,109,58,"75,000 VNĐ",https://chothuesub.com/account/119157,chothuesub.com
GiChangGúc #1304,ĐỒNG I,170,41,"75,000 VNĐ",https://chothuesub.com/account/119162,chothuesub.com
