id_game,rank,so_tuong,so_skin,gia,link
KẹoDưaHấu #0201,ĐỒNG II,82,12,"60,000 VNĐ",https://chothuesub.com/account/119086
BulDixnhDuxng #0512,SẮT II,98,25,"65,000 VNĐ",https://chothuesub.com/account/119142
chandoichoigame#7754,ĐỒNG III,96,13,"65,000 VNĐ",https://chothuesub.com/account/118963
locat11232 #vn2,VÀNG II,89,24,"65,000 VNĐ",https://chothuesub.com/account/118998
nấcc cụtt#VN3,BẠC III,92,47,"65,000 VNĐ",https://chothuesub.com/account/119011
Aka Trâu TV #DH18,VÀNG III,92,21,"70,000 VNĐ",https://chothuesub.com/account/119068
CắtĐôiNổiSầu #vn3,BẠC IV,108,27,"70,000 VNĐ",https://chothuesub.com/account/119088
AIzero04 #vn2,SẮT II,118,17,"70,000 VNĐ",https://chothuesub.com/account/119090
feedtolose #12345,BẠC I,116,16,"70,000 VNĐ",https://chothuesub.com/account/119137
ngongkt666 #6304,SẮT IV,117,19,"70,000 VNĐ",https://chothuesub.com/account/119143
Phan Huy #3803,UNRANK,105,59,"70,000 VNĐ",https://chothuesub.com/account/119145
huyhongchua #8856,VÀNG IV,96,13,"70,000 VNĐ",https://chothuesub.com/account/119147
Blackturtle#1853,ĐỒNG IV,105,55,"70,000 VNĐ",https://chothuesub.com/account/119016
reddog1234 #vn2,ĐỒNG IV,132,28,"72,000 VNĐ",https://chothuesub.com/account/119141
HLE Zues NĐ#2001,ĐỒNG I,147,28,"73,000 VNĐ",https://chothuesub.com/account/119000
czatk2005 #vn2,ĐỒNG III,146,25,"73,000 VNĐ",https://chothuesub.com/account/119036
Đức Tú #KEN,SẮT IV,159,47,"74,000 VNĐ",https://chothuesub.com/account/119161
NPC EBD #vn2,UNRANK,159,86,"74,000 VNĐ",https://chothuesub.com/account/119174
em Nam chơi chất#56789,UNRANK,152,34,"74,000 VNĐ",https://chothuesub.com/account/119004
KidSoNoise #amour,SẮT III,171,22,"75,000 VNĐ",https://chothuesub.com/account/119047
chỉyêuChâu #yChau,SẮT IV,163,20,"75,000 VNĐ",https://chothuesub.com/account/119052
Ngáo2311 #vn2,UNRANK,160,21,"75,000 VNĐ",https://chothuesub.com/account/119063
Mèo Kì Lân #2004,UNRANK,164,28,"75,000 VNĐ",https://chothuesub.com/account/119065
chan đeeeeeee#0707,SẮT III,170,49,"75,000 VNĐ",https://chothuesub.com/account/119093
Xin tí nhân phẩm#9393,UNRANK,105,38,"75,000 VNĐ",https://chothuesub.com/account/119107
VQuoc07 #trinh,UNRANK,171,24,"75,000 VNĐ",https://chothuesub.com/account/119156
3ofCups #246,VÀNG II,109,58,"75,000 VNĐ",https://chothuesub.com/account/119157
GiChangGúc #1304,ĐỒNG I,170,41,"75,000 VNĐ",https://chothuesub.com/account/119162
nguyễn ha nhi #3624,SẮT IV,171,41,"75,000 VNĐ",https://chothuesub.com/account/119166
